order_id,created_date,status_id,order_sum,currency,quantity
50836286,2021-06-15,14,297.53999999999996,1.0,6
60939311,2021-11-18,14,501.2,7.7414,8
50767898,2021-01-17,81,227.34,1.0,1
53901202,2021-05-02,81,635.6800000000001,1.0,5
55211250,2021-07-15,81,187.85,1.0,1
58061964,2021-07-23,14,107.54,1.0,1
57815357,2021-08-19,14,409.28,1.0,6
52284618,2021-07-07,65,113.85,1.0,1
58812562,2021-11-06,14,127.64,1.0,8
51040279,2021-03-15,14,144.6,1.0,20
51718540,2021-03-09,14,16606.47,26.5258,46
56875052,2021-06-09,14,6807.47,10.2572,3
60696061,2021-11-21,81,439.37,1.0,1
61637247,2021-09-28,14,344.78999999999996,1.0,5
52939103,2021-07-01,81,110.2,1.0,2
56907895,2021-08-20,1005,2029.04,1.0,276
58665475,2021-07-03,14,60.51,1.0,1
59764948,2021-12-10,14,365.95,1.0,2
57730584,2021-09-27,14,416.5,1.0,5
54286074,2021-07-20,14,160.56,1.0,2
50592053,2021-02-06,14,327.87,1.0,2
59329589,2021-12-22,14,341.92,1.0,7
55373623,2021-08-24,81,157.94,1.0,11
51760517,2021-05-21,81,295.94,1.0,14
59111533,2021-11-15,81,186.93,1.0,1
56149489,2021-10-08,81,134.51,1.0,4
51436556,2021-07-25,14,368.91,1.0,1
52735054,2021-06-11,14,270.14,1.0,2
57613289,2021-05-29,14,296.21,1.0,4
52865554,2021-05-05,14,162.84,1.0,4
53587123,2021-03-23,13,310.88,1.0,3
60785223,2021-08-01,81,1843.7,7.7413,1
57339020,2021-10-07,65,85.51,1.0,2
56392489,2021-09-14,14,268.15999999999997,1.0,5
51078160,2021-06-27,14,485.88,1.0,18
51007423,2021-06-01,81,318.77,1.0,6
60067027,2021-11-17,14,44.31,1.0,4
56377217,2021-06-20,81,247.35,1.0,4
55494242,2021-09-15,13,402.06,1.0,3
53514770,2021-08-03,81,115.06,1.0,1
57480345,2021-10-17,14,4232.22,10.5335,1
55157895,2021-05-28,14,128.48,1.0,5
55464447,2021-07-02,81,157.18,1.0,6
51984129,2021-04-05,14,314.22,1.0,15
55293313,2021-07-14,14,309.7,1.0,1
60368477,2021-10-21,81,120.71000000000001,1.0,1
57022429,2021-10-15,14,363.08000000000004,1.0,2
58835220,2021-06-30,14,370.47,1.0,1
57101492,2021-10-17,14,201.42,0.8891,1
53655503,2021-03-19,14,250.0,1.0,1
53997982,2021-08-03,81,408.46,1.0,6
54334234,2021-04-26,14,371.43,1.0,4
54720049,2021-05-01,81,203.38,1.0,1
59170202,2021-09-01,81,231.20999999999998,1.0,1
51602609,2021-04-09,81,166.04000000000002,1.0,8
52513105,2021-04-20,14,170.82999999999998,1.0,1
52797275,2021-04-07,14,247.41,1.0,1
57980719,2021-10-22,14,275.35,1.0,12
56991854,2021-09-29,14,384.15999999999997,1.0,1
61546068,2021-08-27,81,382.32,1.0,1
55062995,2021-08-29,81,526.88,1.0,4
59789071,2021-07-21,14,221.71,1.0,5
53849742,2021-04-05,81,225.13,1.0,2
54816111,2021-05-30,14,174.52,1.0,1
50875128,2021-01-20,14,98314.0,371.535,6
61783015,2021-12-05,81,413.6,1.0,13
54305324,2021-04-25,14,277.21,1.0,4
56557500,2021-09-25,14,183.9,1.0,3
58665108,2021-11-06,81,364.18,0.8868,1
53414785,2021-04-30,81,8978.61,10.6835,2
56752984,2021-08-19,65,189.24,10.5513,1
57254102,2021-10-03,14,417.28,1.0,13
54155591,2021-04-27,14,359.38,1.0,3
52786892,2021-03-05,13,903.61,10.6231,1
61679986,2021-11-12,14,183.29,1.0,6
51213245,2021-02-05,14,112.31,1.0,1
50766319,2021-03-19,14,208.63,1.0,1
53478243,2021-04-30,14,1992.06,7.7337,9
59223124,2021-10-22,14,490.55,1.0,14
54755372,2021-04-15,81,106.14,1.0,4
54825944,2021-08-30,14,426.97,1.0,22
55739746,2021-08-07,14,28.86,1.0,2
52626058,2021-08-14,14,705.6800000000001,1.1155,9
57858956,2021-11-18,14,176.86,0.8804,3
52017029,2021-02-13,14,432.15,1.0,1
52233832,2021-04-15,14,1545.98,10.7845,9
51959506,2021-06-10,14,294.81,1.0,1
56651283,2021-07-29,14,328.5,1.0,1
57167444,2021-08-20,14,376.31,4.8247,1
55933980,2021-04-30,14,202.8,1.0,10
52443477,2021-03-27,81,240.8,1.0,1
50782680,2021-07-07,14,171107.0,369.557,2
52925303,2021-08-14,81,133.0,1.0,4
58865572,2021-11-12,14,169.43,1.0,4
52675714,2021-03-11,81,237.98,1.0,1
57138245,2021-10-30,14,368.65999999999997,1.0,1
54745699,2021-09-01,81,299.76,1.0,1
59661036,2021-08-23,81,214.68,1.0,1
58172801,2021-07-21,14,228.93,1.0,1
60460321,2021-08-05,81,227.73,1.0,1
50982384,2021-06-29,14,57.66,1.0,5
57604788,2021-08-29,14,313.08,1.0,2
61555694,2021-10-31,13,190.98,1.0,4
50295244,2021-05-21,14,557.46,1.0,9
51341522,2021-04-12,14,344.91,1.0,1
55275049,2021-06-14,14,156.93,1.0,1
52731016,2021-04-10,81,616.7,1.0,5
52448253,2021-04-03,81,451.53,10.611,1
57684260,2021-07-17,81,372.15999999999997,1.0,4
57717332,2021-09-07,14,817.5,1.0,8
52718150,2021-05-02,81,4459.84,26.5494,4
55803063,2021-07-01,14,231.91,1.0,1
52338420,2021-06-28,14,97.42,1.0,2
53231145,2021-05-18,14,28.9,1.0,1
55548420,2021-07-10,81,12933.0,373.065,1
60533329,2021-10-18,14,260.96000000000004,1.0,12
54481287,2021-05-30,14,281.40999999999997,1.0,1
59742614,2021-10-05,13,96.00999999999999,1.0,3
59388041,2021-11-21,14,354.53,1.0,1
51380773,2021-05-17,14,1407.93,10.6553,5
61543923,2021-11-28,14,266.12,1.0,3
51000440,2021-02-25,14,138.86,1.0,2
52168954,2021-03-09,13,2189.3,10.6213,3
60455783,2021-07-27,1006,439.0,1.0,30
59497555,2021-09-20,14,385.9,1.0,1
61563423,2022-02-04,14,494.34,2.0324,3
54740250,2021-06-28,14,1335.31,10.575,2
51088233,2021-07-06,14,831.63,1.0,12
52549500,2021-05-06,81,438.74,1.0,15
61911657,2021-12-21,51,95.09,1.0,1
53549501,2021-08-07,14,511.7,1.0,3
52423389,2021-02-25,81,200.06,1.0,1
60736160,2021-11-24,14,310.61,1.0,3
59909007,2021-11-07,14,1225.37,1.0,49
57648424,2021-08-10,14,220.56,1.0,1
61617322,2022-02-11,14,323.04,1.0,11
56826257,2021-10-06,14,114.13,1.0,1
60649363,2022-01-10,81,197.7,1.0,2
56538697,2021-06-09,14,331.33,1.0,11
53812498,2021-04-11,14,516.52,1.0,4
57153139,2021-05-27,14,130.0,1.0,0
53057176,2021-08-09,81,369.65999999999997,0.8919,1
54279357,2021-08-07,81,582.01,2.0333,2
58083471,2021-06-05,81,345.47,0.8812,1
